tableware,/m/04brg2,38.4,38.4,0.546967208,0.004503448,0.107693672,0.258932918,0.297243536
bowl,/m/04kkgm,38.9,38.9,0.549226284,0.001713846,0.066928647,0.246443525,0.351645976
frying pan,/m/04v6l4,39.6,41.2,0.608031094,0,0.092506856,0.249232605,0.439358592
table,/m/04bcr3,39.7,39.7,0.558599055,0.001728986,0.06284532,0.996958733,0.927752137
person,/m/01g317,41.2,50.7,0.867297292,0.260405004,3.23E-05,0.61408633,0.157704234
person,/m/01g317,41.6,41.9,0.795683146,0.003115222,0.0016679,0.166398898,0.195412114
camera,/m/0dv5r,41.6,42.4,0.649313748,0.083933979,0.29085651,0.386286378,0.76710248
tableware,/m/04brg2,42.1,42.1,0.504028797,0.579564631,0.243904725,0.737690687,0.472488672
mug,/m/02jvh9,42.3,42.3,0.512922764,0.578471303,0.244166374,0.737401903,0.472126931
drink,/m/0271t,42.4,42.8,0.62282002,0.721018016,0.130179405,0.854780078,0.721875429
coffee cup,/m/02p5f1q,42.5,42.8,0.520254791,0.57689172,0.243200302,0.737059653,0.47234574
table,/m/04bcr3,43,43.6,0.547152579,0.004115652,0.044108123,0.995917976,0.889999986
tableware,/m/04brg2,43.2,43.3,0.54033041,0.003095987,0.059999999,0.274638057,0.324678689
bowl,/m/04kkgm,43.8,43.8,0.691916108,5.36E-05,0.084049299,0.295415819,0.339999974
frying pan,/m/04v6l4,44.4,44.8,0.582519948,0.026444456,0.044649411,0.306702435,0.407180101
table,/m/04bcr3,44.6,45.1,0.554240763,0.005948339,0.043877266,0.994169891,0.889999986
frying pan,/m/04v6l4,45.7,46.4,0.632548869,0.002444968,0.014186629,0.276091695,0.429129153
table,/m/04bcr3,46.4,47.3,0.519451439,0.0029497,0.038119037,0.99635756,0.889999986
tableware,/m/04brg2,46.6,46.9,0.545705557,0.003602083,0.066444963,0.292706132,0.351957649
frying pan,/m/04v6l4,47.4,52.4,0.553946376,0,0.120981053,0.278784275,0.459999979
tableware,/m/04brg2,48.1,48.2,0.50504899,0.396700889,0.436143756,0.58347702,0.72558707
coffee cup,/m/02p5f1q,52.6,52.6,0.564807475,0.590705335,0.245510995,0.737484336,0.471317738
person,/m/01g317,52.8,53.7,0.868390799,0.361750156,0,0.588720143,0.142874271
person,/m/01g317,52.8,53.7,0.868390799,0.063728973,0.019177426,0.682946026,0.308322489
drink,/m/0271t,53.7,54.9,0.626081884,0.719632089,0.130179405,0.851993561,0.72241205
frying pan,/m/04v6l4,53.8,54.8,0.566577911,0.038506288,0.118446663,0.316066027,0.59202522
table,/m/04bcr3,54,54,0.572317958,0.005468164,0.063077725,0.994860053,0.944539607
tableware,/m/04brg2,54,54.5,0.516412616,0.396700889,0.438647568,0.580958545,0.72589314
frying pan,/m/04v6l4,56.1,56.3,0.588808775,0.000900988,0.003459919,0.319099009,0.622226536
